cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_NIRR,prob_IRR
BR16,IRR,2017-02-27,dia6,4,B4,unico,unico,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
BR16,NIRR,2017-02-27,dia6,1,B1,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
BR16,NIRR,2017-02-27,dia6,2,B2,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
BR16,NIRR,2017-02-27,dia6,3,B3,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
BR16,NIRR,2017-02-27,dia6,4,B4,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
CD202,IRR,2017-02-27,dia6,1,B1,unico,unico,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
CD202,IRR,2017-02-27,dia6,2,B2,unico,unico,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
CD202,IRR,2017-02-27,dia6,3,B3,unico,unico,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
CD202,IRR,2017-02-27,dia6,4,B4,unico,unico,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
CD202,NIRR,2017-02-27,dia6,1,B1,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
CD202,NIRR,2017-02-27,dia6,2,B2,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
CD202,NIRR,2017-02-27,dia6,3,B3,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
CD202,NIRR,2017-02-27,dia6,4,B4,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
EMB48,IRR,2017-02-27,dia6,1,B1,unico,unico,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
EMB48,IRR,2017-02-27,dia6,2,B2,unico,unico,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
EMB48,IRR,2017-02-27,dia6,3,B3,unico,unico,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
EMB48,IRR,2017-02-27,dia6,4,B4,unico,unico,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
EMB48,NIRR,2017-02-27,dia6,1,B1,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
EMB48,NIRR,2017-02-27,dia6,2,B2,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
EMB48,NIRR,2017-02-27,dia6,3,B3,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
EMB48,NIRR,2017-02-27,dia6,4,B4,unico,unico,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
BR16,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.2,0.8
BR16,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.4,0.6
BR16,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
BR16,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
BR16,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
BR16,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,0.8,0.2
BR16,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,0.8,0.2
BR16,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
CD202,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
CD202,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.4,0.6
CD202,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
CD202,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,0,IRR,NIRR,False,0.6,0.4
CD202,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
CD202,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
CD202,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
CD202,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
EMB48,IRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
EMB48,IRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.4,0.6
EMB48,IRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
EMB48,IRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,condicao,k-NN (k=5),1,1,IRR,IRR,True,0.0,1.0
EMB48,NIRR,2017-03-02,dia9,1,B1,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
EMB48,NIRR,2017-03-02,dia9,2,B2,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
EMB48,NIRR,2017-03-02,dia9,3,B3,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
EMB48,NIRR,2017-03-02,dia9,4,B4,manha + tarde,manha + tarde,condicao,k-NN (k=5),0,0,NIRR,NIRR,True,1.0,0.0
